labels,log
2,05/19/2022 12:43:16 [info][WiFi][ Station age out STA-MAC=2e:ae:39:0e:33:9d WG-MAC=6C:63:9C:4A:0D:C3; IF=wlan0_0]
2,"05/19/2022 12:43:18 [info][WiFi][ DISASSOC - MAC=2e:ae:39:0e:33:9d, Reason=34; WG-MAC=6C:63:9C:4A:0D:C3; IF=wlan0_0]"
2,05/19/2022 13:03:55 [info][WiFi][ MAC 1a:44:c9:60:4c:3b authentication with Vodafone-1A1F; WG-MAC=6C:63:9C:4A:0D:C4; IF=wlan1_0]
2,05/19/2022 13:03:55 [info][WiFi][ MAC 1a:44:c9:60:4c:3b associated to Vodafone-1A1F; WG-MAC=6C:63:9C:4A:0D:C4; IF=wlan1_0]
2,05/19/2022 13:03:55 [info][WiFi][ WG-MAC=6C:63:9C:4A:0D:C4; STA-MAC=1a:44:c9:60:4c:3b; IF=wlan1_0; SSID=Vodafone-1A1F; ConnectionState=connected; WirelessMode=802.11n; LastTxPhyRate=121Mbps; LastRxPhyRate=6Mbps; MaxSupportedRate:150Mbps; EncryptMode=AES; AuthMode=WpaPsk; RSSI=-46dBm; Channel=5300MHz; Radio=5G; Bandwidth=40M; TxFailPkts=0; RetransPkts=0]
2,05/19/2022 13:03:56 [info][WiFi][ REASON-CODE-DESCR=PREV_AUTH_NOT_VALID;REASON-CODE=2; WG-MAC=6C:63:9C:4A:0D:C3; STA-MAC=1a:44:c9:60:4c:3b; IF=wlan0_0; SSID=Vodafone-1A1F; ConnectionState=forcedDisassociatedAuth; WirelessMode=802.11n; LastTxPhyRate=58Mbps; LastRxPhyRate=65Mbps; MaxSupportedRate:72Mbps; EncryptMode=AES; AuthMode=WpaPsk; RSSI=-37dBm; Channel=2437MHz; Radio=2.4G; Bandwidth=20M; TxFailPkts=0; RetransPkts=178]
2,"05/19/2022 13:03:58 [info][WiFi][ DISASSOC - MAC=1a:44:c9:60:4c:3b, Reason=34; WG-MAC=6C:63:9C:4A:0D:C3; IF=wlan0_0]"
2,05/19/2022 13:03:58 [info][WiFi][ MAC be:7d:d7:6b:da:59 authentication with Vodafone-1A1F; WG-MAC=6C:63:9C:4A:0D:C4; IF=wlan1_0]
2,05/19/2022 13:03:58 [info][WiFi][ MAC be:7d:d7:6b:da:59 associated to Vodafone-1A1F; WG-MAC=6C:63:9C:4A:0D:C4; IF=wlan1_0]
2,05/19/2022 13:03:58 [info][WiFi][ WG-MAC=6C:63:9C:4A:0D:C4; STA-MAC=be:7d:d7:6b:da:59; IF=wlan1_0; SSID=Vodafone-1A1F; ConnectionState=connected; WirelessMode=802.11ac; LastTxPhyRate=175Mbps; LastRxPhyRate=6Mbps; MaxSupportedRate:866Mbps; EncryptMode=AES; AuthMode=WpaPsk; RSSI=-80dBm; Channel=5300MHz; Radio=5G; Bandwidth=80M; TxFailPkts=0; RetransPkts=0]
2,"05/19/2022 13:04:03 [info][WiFi][ DISASSOC - MAC=be:7d:d7:6b:da:59, Reason=34; WG-MAC=6C:63:9C:4A:0D:C3; IF=wlan0_0]"
2,05/19/2022 13:06:08 [info][WiFi][ MAC be:7d:d7:6b:da:59 authentication with Vodafone-1A1F; WG-MAC=6C:63:9C:4A:0D:C3; IF=wlan0_0]
2,05/19/2022 13:06:08 [info][WiFi][ MAC be:7d:d7:6b:da:59 associated to Vodafone-1A1F; WG-MAC=6C:63:9C:4A:0D:C3; IF=wlan0_0]
2,05/19/2022 13:06:08 [info][WiFi][ WG-MAC=6C:63:9C:4A:0D:C3; STA-MAC=be:7d:d7:6b:da:59; IF=wlan0_0; SSID=Vodafone-1A1F; ConnectionState=connected; WirelessMode=802.11n; LastTxPhyRate=78Mbps; LastRxPhyRate=6Mbps; MaxSupportedRate:144Mbps; EncryptMode=AES; AuthMode=WpaPsk; RSSI=-59dBm; Channel=2462MHz; Radio=2.4G; Bandwidth=20M; TxFailPkts=0; RetransPkts=0]
2,05/19/2022 13:06:08 [info][WiFi][ REASON-CODE-DESCR=PREV_AUTH_NOT_VALID;REASON-CODE=2; WG-MAC=6C:63:9C:4A:0D:C4; STA-MAC=be:7d:d7:6b:da:59; IF=wlan1_0; SSID=Vodafone-1A1F; ConnectionState=forcedDisassociatedAuth; WirelessMode=802.11ac; LastTxPhyRate=175Mbps; LastRxPhyRate=6Mbps; MaxSupportedRate:866Mbps; EncryptMode=AES; AuthMode=WpaPsk; RSSI=-81dBm; Channel=5300MHz; Radio=5G; Bandwidth=80M; TxFailPkts=0; RetransPkts=499]
2,05/19/2022 13:06:08 [info][WiFi][ BSS-TM-RESP be:7d:d7:6b:da:59 status_code=6 bss_termination_delay=0]
2,05/19/2022 13:06:08 [info][WiFi][ BSS-TRANS-MGMT-RESP be:7d:d7:6b:da:59 6 1652958368]
2,"05/19/2022 13:06:12 [info][WiFi][ DISASSOC - MAC=be:7d:d7:6b:da:59, Reason=34; WG-MAC=6C:63:9C:4A:0D:C4; IF=wlan1_0]"
2,05/19/2022 13:06:38 [info][WiFi][ BSS-TM-RESP be:7d:d7:6b:da:59 status_code=6 bss_termination_delay=0]
2,05/19/2022 13:06:38 [info][WiFi][ BSS-TRANS-MGMT-RESP be:7d:d7:6b:da:59 6 1652958398]
2,05/19/2022 13:20:34 [info][WiFi][ MAC be:7d:d7:6b:da:59 authentication with Vodafone-1A1F; WG-MAC=6C:63:9C:4A:0D:C4; IF=wlan1_0]
2,05/19/2022 13:20:34 [info][WiFi][ MAC be:7d:d7:6b:da:59 associated to Vodafone-1A1F; WG-MAC=6C:63:9C:4A:0D:C4; IF=wlan1_0]
2,05/19/2022 13:20:34 [info][WiFi][ WG-MAC=6C:63:9C:4A:0D:C4; STA-MAC=be:7d:d7:6b:da:59; IF=wlan1_0; SSID=Vodafone-1A1F; ConnectionState=connected; WirelessMode=802.11ac; LastTxPhyRate=175Mbps; LastRxPhyRate=6Mbps; MaxSupportedRate:866Mbps; EncryptMode=AES; AuthMode=WpaPsk; RSSI=-79dBm; Channel=5300MHz; Radio=5G; Bandwidth=80M; TxFailPkts=0; RetransPkts=0]
2,05/19/2022 13:20:34 [info][WiFi][ REASON-CODE-DESCR=PREV_AUTH_NOT_VALID;REASON-CODE=2; WG-MAC=6C:63:9C:4A:0D:C3; STA-MAC=be:7d:d7:6b:da:59; IF=wlan0_0; SSID=Vodafone-1A1F; ConnectionState=forcedDisassociatedAuth; WirelessMode=802.11n; LastTxPhyRate=104Mbps; LastRxPhyRate=117Mbps; MaxSupportedRate:144Mbps; EncryptMode=AES; AuthMode=WpaPsk; RSSI=-57dBm; Channel=2462MHz; Radio=2.4G; Bandwidth=20M; TxFailPkts=0; RetransPkts=57]
2,"05/19/2022 13:20:38 [info][WiFi][ DISASSOC - MAC=be:7d:d7:6b:da:59, Reason=34; WG-MAC=6C:63:9C:4A:0D:C3; IF=wlan0_0]"
2,05/19/2022 13:22:18 [info][WiFi][ MAC be:7d:d7:6b:da:59 authentication with Vodafone-1A1F; WG-MAC=6C:63:9C:4A:0D:C3; IF=wlan0_0]
2,05/19/2022 13:22:18 [info][WiFi][ MAC be:7d:d7:6b:da:59 associated to Vodafone-1A1F; WG-MAC=6C:63:9C:4A:0D:C3; IF=wlan0_0]
2,05/19/2022 13:22:18 [info][WiFi][ WG-MAC=6C:63:9C:4A:0D:C3; STA-MAC=be:7d:d7:6b:da:59; IF=wlan0_0; SSID=Vodafone-1A1F; ConnectionState=connected; WirelessMode=802.11n; LastTxPhyRate=78Mbps; LastRxPhyRate=6Mbps; MaxSupportedRate:144Mbps; EncryptMode=AES; AuthMode=WpaPsk; RSSI=-60dBm; Channel=2462MHz; Radio=2.4G; Bandwidth=20M; TxFailPkts=0; RetransPkts=0]
2,05/19/2022 13:22:18 [info][WiFi][ REASON-CODE-DESCR=PREV_AUTH_NOT_VALID;REASON-CODE=2; WG-MAC=6C:63:9C:4A:0D:C4; STA-MAC=be:7d:d7:6b:da:59; IF=wlan1_0; SSID=Vodafone-1A1F; ConnectionState=forcedDisassociatedAuth; WirelessMode=802.11ac; LastTxPhyRate=175Mbps; LastRxPhyRate=6Mbps; MaxSupportedRate:866Mbps; EncryptMode=AES; AuthMode=WpaPsk; RSSI=-79dBm; Channel=5300MHz; Radio=5G; Bandwidth=80M; TxFailPkts=0; RetransPkts=187]
2,05/19/2022 13:22:19 [info][WiFi][ BSS-TM-RESP be:7d:d7:6b:da:59 status_code=6 bss_termination_delay=0]
2,05/19/2022 13:22:19 [info][WiFi][ BSS-TRANS-MGMT-RESP be:7d:d7:6b:da:59 6 1652959339]
2,"05/19/2022 13:22:22 [info][WiFi][ DISASSOC - MAC=be:7d:d7:6b:da:59, Reason=34; WG-MAC=6C:63:9C:4A:0D:C4; IF=wlan1_0]"
2,05/19/2022 13:22:49 [info][WiFi][ BSS-TM-RESP be:7d:d7:6b:da:59 status_code=6 bss_termination_delay=0]
2,05/19/2022 13:22:49 [info][WiFi][ BSS-TRANS-MGMT-RESP be:7d:d7:6b:da:59 6 1652959369]
2,05/19/2022 14:43:43 [info][WiFi][ BSS-TM-RESP be:7d:d7:6b:da:59 status_code=6 bss_termination_delay=0]
2,05/19/2022 14:43:43 [info][WiFi][ BSS-TRANS-MGMT-RESP be:7d:d7:6b:da:59 6 1652964223]
2,05/19/2022 14:43:56 [info][WiFi][ BSS-TM-RESP be:7d:d7:6b:da:59 status_code=6 bss_termination_delay=0]
2,05/19/2022 14:43:56 [info][WiFi][ BSS-TRANS-MGMT-RESP be:7d:d7:6b:da:59 6 1652964236]
2,05/19/2022 14:45:22 [info][WiFi][ BSS-TM-RESP be:7d:d7:6b:da:59 status_code=6 bss_termination_delay=0]
2,05/19/2022 14:45:22 [info][WiFi][ BSS-TRANS-MGMT-RESP be:7d:d7:6b:da:59 6 1652964322]
2,05/19/2022 14:46:35 [info][WiFi][ BSS-TM-RESP be:7d:d7:6b:da:59 status_code=6 bss_termination_delay=0]
2,05/19/2022 14:46:35 [info][WiFi][ BSS-TRANS-MGMT-RESP be:7d:d7:6b:da:59 6 1652964395]
2,05/19/2022 14:48:58 [info][WiFi][ MAC be:7d:d7:6b:da:59 authentication with Vodafone-1A1F; WG-MAC=6C:63:9C:4A:0D:C4; IF=wlan1_0]
2,05/19/2022 14:48:58 [info][WiFi][ MAC be:7d:d7:6b:da:59 associated to Vodafone-1A1F; WG-MAC=6C:63:9C:4A:0D:C4; IF=wlan1_0]
2,05/19/2022 14:48:58 [info][WiFi][ WG-MAC=6C:63:9C:4A:0D:C4; STA-MAC=be:7d:d7:6b:da:59; IF=wlan1_0; SSID=Vodafone-1A1F; ConnectionState=connected; WirelessMode=802.11ac; LastTxPhyRate=175Mbps; LastRxPhyRate=6Mbps; MaxSupportedRate:866Mbps; EncryptMode=AES; AuthMode=WpaPsk; RSSI=-75dBm; Channel=5300MHz; Radio=5G; Bandwidth=80M; TxFailPkts=0; RetransPkts=0]
2,05/19/2022 14:48:58 [info][WiFi][ REASON-CODE-DESCR=PREV_AUTH_NOT_VALID;REASON-CODE=2; WG-MAC=6C:63:9C:4A:0D:C3; STA-MAC=be:7d:d7:6b:da:59; IF=wlan0_0; SSID=Vodafone-1A1F; ConnectionState=forcedDisassociatedAuth; WirelessMode=802.11n; LastTxPhyRate=58Mbps; LastRxPhyRate=58Mbps; MaxSupportedRate:144Mbps; EncryptMode=AES; AuthMode=WpaPsk; RSSI=-59dBm; Channel=2462MHz; Radio=2.4G; Bandwidth=20M; TxFailPkts=0; RetransPkts=152724]
2,05/13/2022 04:03:24 [warning][Firewall][DoS Attack - TCP SYN FloodingIN=erouter0 OUT= MAC=ac:db:48:59:1a:22:00:01:5c:96:96:46:08:00:45:00:00:28 SRC=89.248.165.16 DST=86.49.84.236 LEN=40 TOS=0x00 PREC=0x00 TTL=242 ID=43942 PROTO=TCP SPT=47394 DPT=3216 WINDOW=1024 RES=0x00 SYN URGP=0 ]
2,05/14/2022 01:25:04 [warning][Firewall][DoS Attack - TCP SYN FloodingIN=erouter0 OUT= MAC=ac:db:48:59:1a:22:00:01:5c:96:96:46:08:00:45:00:00:3c SRC=123.57.82.190 DST=86.49.84.236 LEN=60 TOS=0x00 PREC=0x00 TTL=34 ID=55757 DF PROTO=TCP SPT=56990 DPT=2002 WINDOW=29200 RES=0x00 SYN URGP=0 ]
2,05/17/2022 21:24:45 [info][WiFi][ MAC be:7d:d7:6b:da:59 authentication with Vodafone-1A1F; WG-MAC=6C:63:9C:4A:0D:C3; IF=wlan0_0]
2,05/17/2022 21:24:45 [info][WiFi][ MAC be:7d:d7:6b:da:59 associated to Vodafone-1A1F; WG-MAC=6C:63:9C:4A:0D:C3; IF=wlan0_0]
2,05/17/2022 21:24:45 [info][WiFi][ WG-MAC=6C:63:9C:4A:0D:C3; STA-MAC=be:7d:d7:6b:da:59; IF=wlan0_0; SSID=Vodafone-1A1F; ConnectionState=connected; WirelessMode=802.11n; LastTxPhyRate=78Mbps; LastRxPhyRate=6Mbps; MaxSupportedRate:144Mbps; EncryptMode=AES; AuthMode=WpaPsk; RSSI=-61dBm; Channel=2462MHz; Radio=2.4G; Bandwidth=20M; TxFailPkts=0; RetransPkts=0]
2,05/17/2022 21:24:45 [info][WiFi][ REASON-CODE-DESCR=PREV_AUTH_NOT_VALID;REASON-CODE=2; WG-MAC=6C:63:9C:4A:0D:C4; STA-MAC=be:7d:d7:6b:da:59; IF=wlan1_0; SSID=Vodafone-1A1F; ConnectionState=forcedDisassociatedAuth; WirelessMode=802.11ac; LastTxPhyRate=40Mbps; LastRxPhyRate=6Mbps; MaxSupportedRate:866Mbps; EncryptMode=AES; AuthMode=WpaPsk; RSSI=-84dBm; Channel=5500MHz; Radio=5G; Bandwidth=80M; TxFailPkts=0; RetransPkts=20]
2,05/17/2022 21:24:46 [info][WiFi][ BSS-TM-RESP be:7d:d7:6b:da:59 status_code=6 bss_termination_delay=0]
2,05/17/2022 21:24:46 [info][WiFi][ BSS-TRANS-MGMT-RESP be:7d:d7:6b:da:59 6 1652815486]
2,"05/17/2022 21:24:49 [info][WiFi][ DISASSOC - MAC=be:7d:d7:6b:da:59, Reason=34; WG-MAC=6C:63:9C:4A:0D:C4; IF=wlan1_0]"
2,05/17/2022 21:25:15 [info][WiFi][ BSS-TM-RESP be:7d:d7:6b:da:59 status_code=6 bss_termination_delay=0]
2,05/17/2022 21:25:15 [info][WiFi][ BSS-TRANS-MGMT-RESP be:7d:d7:6b:da:59 6 1652815515]
2,05/17/2022 22:28:04 [info][WiFi][ MAC be:7d:d7:6b:da:59 authentication with Vodafone-1A1F; WG-MAC=6C:63:9C:4A:0D:C4; IF=wlan1_0]
